ApplicationId,ApplicantName,DateOfBirth,Gender,AadhaarNumber,Mobile,Email,PresentAddress,PermanentAddress,Division,SubDivision,PoliceStation,PassportType,ApplicationPriority,TravelPurpose,TravelCountry,ApplicationStatus,AssignedConstable,FieldVisitCompleted,CriminalRecord,FirLinked,CourtCasePending,LookoutNotice,RejectionReason,OfficerRemarks,VerificationDate
PV-2026-BAL-0001,"Rahul Verma",1991-06-08,Male,XXXX-XXXX-1074,9840015838,rahul.verma2@example.com,"#10, Main Road, Ballari","#10, Main Road, Ballari",Kalaburagi,Ballari,Cowl Bazaar PS,Tatkal,TATKAL,"Higher Studies (UK/Europe)",Germany,VERIFIED,"HC Ramaiah B. (KSP-CON-4421)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0002,"Girish Bhat",1965-08-11,Male,XXXX-XXXX-1111,9840023757,girish.bhat3@example.com,"#25, Main Road, Ballari","#25, Main Road, Ballari",Kalaburagi,Ballari,Brucepet PS,Fresh,NORMAL,"Employment (Gulf)",United Arab Emirates,VERIFIED,"PC Suresh K. (KSP-CON-3189)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0003,"Sunil Das",1981-10-14,Male,XXXX-XXXX-1148,9840031676,sunil.das4@example.com,"#40, Main Road, Ballari","#40, Main Road, Ballari",Kalaburagi,Ballari,Gandhinagar PS,Fresh,NORMAL,"Tourism",France,VERIFIED,"PC Anand Kumar T. (KSP-CON-7104)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0004,"Raghavendra Nambiar",1997-12-17,Male,XXXX-XXXX-1185,9840039595,raghavendra.nambiar5@example.com,"#55, Main Road, Ballari","#55, Main Road, Ballari",Kalaburagi,Ballari,Siruguppa PS,Renewal,NORMAL,"Tourism",Australia,VERIFIED,"PC Shivakumar N. (KSP-CON-6721)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0005,"Sachin Varma",1971-02-20,Male,XXXX-XXXX-1222,9840047514,sachin.varma6@example.com,"#70, Main Road, Ballari","#70, Main Road, Ballari",Kalaburagi,Ballari,Cowl Bazaar PS,Fresh,NORMAL,"Family Visit",Japan,VERIFIED,"WHC Savitha D. (KSP-CON-3310)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0006,"Rahul Verma",1987-04-23,Male,XXXX-XXXX-1259,9840055433,rahul.verma7@example.com,"#85, Main Road, Ballari","#85, Main Road, Ballari",Kalaburagi,Ballari,Brucepet PS,Tatkal,TATKAL,"Work Visa (USA)",United States of America,VERIFIED,"HC Mallikarjun K. (KSP-CON-1678)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0007,"Girish Bhat",2003-06-26,Male,XXXX-XXXX-1296,9840063352,girish.bhat8@example.com,"#100, Main Road, Ballari","#100, Main Road, Ballari",Kalaburagi,Ballari,Gandhinagar PS,Renewal,NORMAL,"Higher Studies (UK/Europe)",Germany,VERIFIED,"HC Raghavendra P. (KSP-CON-2987)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0008,"Sunil Das",1977-08-01,Male,XXXX-XXXX-1333,9840071271,sunil.das9@example.com,"#115, Main Road, Ballari","#115, Main Road, Ballari",Kalaburagi,Ballari,Siruguppa PS,Fresh,URGENT,"Employment (Gulf)",United Arab Emirates,VERIFIED,"PC Ningappa H. (KSP-CON-8032)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0009,"Raghavendra Nambiar",1993-10-04,Male,XXXX-XXXX-1370,9840079190,raghavendra.nambiar10@example.com,"#130, Main Road, Ballari","#130, Main Road, Ballari",Kalaburagi,Ballari,Cowl Bazaar PS,Fresh,NORMAL,"Tourism",France,VERIFIED,"WHC Renuka B. (KSP-CON-3891)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
PV-2026-BAL-0010,"Sachin Varma",1967-12-07,Male,XXXX-XXXX-1407,9840087109,sachin.varma11@example.com,"#145, Main Road, Ballari","#145, Main Road, Ballari",Kalaburagi,Ballari,Brucepet PS,Renewal,NORMAL,"Tourism",Australia,VERIFIED,"WPC Geetha R. (KSP-CON-4902)",true,false,,false,false,,"Clear verification report approved. No adverse records found in CCTNS Karnataka database. Passport grant recommended.",2026-07-20T14:30:00
